Venue,Genre
PDQ :fries:,Chicken
Poke Cafe :sushi:,Japanese
Five Guys :hamburger: :fries:,Burgers
Jersey Mike's :sandwich: :sandwich:,Sandwich
Jimmy Johns :sandwich: :sandwich:,Sandwich
:green_salad: Panera :green_salad:,Salad
:burrito: Moe's :burrito:,Mexican
Zoe's Kitchen :green_salad:,Greek
Pita Pit :burrito:,Sandwich
Newk's :sandwich: :pizza: :green_salad:,Salad
:star: :star2: :sushi: :sushi: :sushi: Fuji Sushi :sushi: :sushi: :sushi: :star2: :star:,Japanese
Rosy's :burrito: :tropical_drink:,Mexican
Wing-It :poultry_leg:,Wings
Mod Pizza :pizza:,Pizza
Mama Fu's :chopsticks:,Chinese
Metro Diner :bacon: :fried egg: :pancakes:,Breakfast
